PersonID,Name,City,State,Country
1,Mouse Micky,Beloit,KS,
2,"Mouse, Minnie",Overbrook,KS,
3,"Duck, Donald",Lemasa,TX,
4,"Duck, Huey",Mulinville,KS,
5,"Duck, Duey",Westmoreland,KS,
6,"Duck, Louie",Emporia,KS,
7,Chef Louis,Westmoreland,KS,
8,KABSU,Manhattan,KS,
9,"De Vil, Cruella",Olathe,KS,
10,KSU - Dr. Greiger Research,Manhattan,KS,
11,KSU ASI,Manhattan,KS,
12,KSU Cow/Calf Unit,Manhattan,KS,
13,KSU- Dr. Stevenson,Manhattan,KS,
14,KSU Horse Unit,Manhattan,KS,
15,KSU Purebred Unit,Manhatttan,KS,
16,KSU Sheep & Meat Goat Unit,Manhattan,KS,
17,"Goof, Gooffy",Manhattan,KS,
18,"Goof, Max",Manhattan,KS,
19,"O'Malley Cat Company (O'Malley, Thomas)",Pete,NY,
20,Lago,Easton,KS,
21,"Carioca, Jose",Falun,KS,
22,"Cow, Clarabelle",Logan,IA,
23,"Mouse, Mortimer Jr.",Lexington,KY,
24,"Mouse, Mortimer",Greenwood,IN,
25,Jafar,Barnard,KS,
26,Beast,Greenleaf,KS,
27,"Mulan, Fa",Fergus,ON ,CN
